Index,"Population(000, 2020)","Pop. density(per km2, 2020)",Surface area(km2),Sex ratio(m per 100 f),Region,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2015 prices)",GDP per capita(current US$),Employment in agriculture(% of employed),Employment in industry(% of employed),Employment in services(% employed),Unemployment(% of labour force),Labour force participation rate(female/male pop. %),Agricultural production index(2004-2006=100),International trade: exports(million current US$),International trade: imports(million current US$),International trade: balance(million current US$),Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Research & Development expenditure(% of GDP),Forested area(% of land area),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),"Pop. using safely managed drinking water(urban/rural, %)",Pop. using safely managed sanitation(urban/rural %),Net Official Development Assist. received(% of GNI),Index,Countries
Northern Africa,246232,31.7,7880000,101,Africa,666216,3.6,2814.3,24.8,25.6,49.6,11.9,22.2/69.3,118,114636,212061,- 97 425,1.9,52.2,2.3,3.3,74.2/70.4,32.7/8.8,2955.8/1.2,,23,100.1/102.7,81.2/81.2,37.7/32.2,,20.1,44.1,0.6,3.4,,,34.9,,39.3/...,0.85,Northern Africa,"['Algeria', 'Egypt', 'Libya', 'Morocco', 'Sudan', 'Tunisia', 'Western Sahara']"
Sub-Saharan Africa,1094366,50,22431000,99.6,Africa,1699027,3,1637.6,52.6,11.2,36.2,5.9,62.7/72.6,,342425,366222,- 23 798,2.6,40.9,4.1,4.7,62.3/58.8,42.1/4.8,23573.5/2.2,,51.5,96.5/100.7,40.5/46.0,7.7/10.5,,24.3,26,0.4,28,,,41,50.0/11.6,19.8/17.5,2.9,Sub-Saharan Africa,
Eastern Africa,445406,66.8,7005000,98.5,Sub-Saharan Africa,393669,6,934.1,63.7,8.7,27.6,3.2,72.9/82.0,140,42498,90934,- 48 436,2.7,28.5,4.6,4.4,66.2/62.1,41.8/4.6,7908.2/1.8,,42,,,,,30.9,17.6,,32.6,,,,53.2/8.9,,,Eastern Africa,"['Burundi', 'Comoros', 'Djibouti', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Malawi', 'Mauritius', 'Mayotte', 'Mozambique', 'Reunion', 'Rwanda', 'Seychelles', 'Somalia', 'South Sudan', 'Uganda', 'Tanzania', 'Zambia', 'Zimbabwe']"
Middle Africa,179595,27.6,6613000,99.6,Sub-Saharan Africa,250276,1,1479.9,,,,4.8,65.3/72.2,150,67001,39026,27975,3,50.1,4.3,5.5,61.1/57.7,45.0/4.4,3785.3/2.2,,64,,,,,17.6,13.9,,46.7,,,,,,,Middle Africa,"['Angola', 'Cameroon', 'Central African Republic', 'Chad', 'Congo', 'Dem. Rep. of the Congo', 'Equatorial Guinea', 'Gabon', 'Sao Tome and Principe']"
Southern Africa,67504,25.5,2675000,96.9,Sub-Saharan Africa,408569,0.9,6215.0,6.6,23,70.4,27.5,50.7/63.5,115,103238,105685,- 2 447,1.4,64.1,2.3,2.5,66.8/59.9,29.5/8.3,4481.7/6.7,,29.4,,,,,35.6,54.9,,10.4,,,,81.9/...,,,Southern Africa,"['Botswana', 'Eswatini', 'Lesotho', 'Namibia', 'South Africa']"
Western Africa,401861,66.3,6138000,101.4,Sub-Saharan Africa,646513,3.2,1696.0,39.9,13.9,46.2,6,52.5/64.3,131,129687,130577,-889,2.7,47,4.3,5.2,58.4/56.3,43.1/4.6,7398.4/1.9,,57.3,,,,,14.8,35.8,,11.1,,,,33.6/15.4,21.9/17.0,,Western Africa,"['Benin', 'Burkina Faso', 'Cabo Verde', ""Cote D'Ivoire"", 'Gambia', 'Ghana', 'Guinea', 'Guineabissau', 'Liberia', 'Mali', 'Mauritania', 'Niger', 'Nigeria', 'Saint Helena', 'Senegal', 'Sierra Leone', 'Togo']"
Northern America,368870,19.8,21776000,98,Americas,22302188,2.8,61220.9,1.3,19.7,79,4,56.4/68.0,116,2092331,3026538,- 934 208,0.7,82.4,1,1.8,81.6/76.7,18.1/23.1,58647.8/16.0,1233.1,5.7,101.5/102.0,100.0/100.4,99.8/73.4,4.6,25.9,89.2,2.7,35.5,,,41.4,99.6/...,90.2/...,,Northern America,"['Bermuda', 'Canada', 'Greenland', 'Saint Pierre and Miquelon', 'United States of America']"
Latin America and the Caribbean,653962,32.5,20546000,96.8,Americas,5565516,0.5,8682.9,13.7,20.3,66.1,8.1,52.0/76.6,,1042023,1049676,- 7 653,0.9,80.9,1.5,2,78.5/72.0,23.9/13.0,11673.3/1.8,13430.4,15.5,108.2/110.3,97.9/94.0,58.6/45.1,,32.1,66.3,0.7,46.5,,,38,82.3/41.7,37.0/...,,Latin America and the Caribbean,
Caribbean,43532,192.6,234000,97.5,Latin America & Caribbean,371468,1,8800.3,16,15.3,68.7,7.3,50.0/70.2,121,27958,51914,- 23 956,0.4,71.8,1.4,2.2,75.1/70.0,23.9/14.9,1524.8/3.5,,30.7,,,,12.1,36.7,58.7,,32.2,,,,,,,Caribbean,"['Anguilla', 'Antigua and Barbuda', 'Aruba', 'Bahamas', 'Barbados', 'Bonaire, St. Eustatius & Saba', 'British Virgin Islands', 'Cayman Islands', 'Cuba', 'Curaçao', 'Dominica', 'Dominican Republic', 'Grenada', 'Guadeloupe', 'Haiti', 'Jamaica', 'Martinique', 'Montserrat', 'Puerto Rico', 'Saint Kitts and Nevis', 'Saint Lucia', 'Saint Vincent and The Grenadines', 'Sint Maarten', 'Trinidad and Tobago', 'Turks and Caicos Islands', 'United States Virgin Islands']"
Central America,179670,73.3,2480000,96.1,Latin America & Caribbean,1492059,2.1,8503.1,16,24.2,59.8,4.1,44.9/79.6,128,510072,547594,- 37 523,1.2,75,1.9,2.2,77.8/72.0,26.9/10.7,1927.7/1.1,,14.6,,,,28.1,36.9,,,35.2,,,,.../41.6,44.0/...,,Central America,"['Belize', 'Costa Rica', 'El Salvador', 'Guatemala', 'Honduras', 'Mexico', 'Nicaragua', 'Panama']"
